Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	CpGcount	DNaseCluster_count	EnhancerCount	SDI	H3k4me1_count	SignalValue_H3k4me1_median	H3k4me3_count	SignalValue_H3k4me3_median	H3k27Ac_count	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	PolyPhen	DANN_score	CADD_RAW	Eigen-raw_coding_rankscore	GenoCanyon_rankscore	M-CAP_rankscore	MetaLR_rankscore	MetaSVM_rankscore	MutationAssessor_rankscore	REVEL_score	fathmm-MKL_coding_score	integrated_fitCons_rankscore	LoFtool	GERP_Rankscore	BPlabel
PRAMEF12	NA	NA	NA	NA	220	-0.3102	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225733	0	0	0	0	0.041119	0	0	0	0	0	NA	NA	NA	NA	NA	1.16	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	3.89693E-06	NA	3065	NA	NA	451.59604	NA	0.111908376	0	0	NA	NA	NA	NA	NA	NA	0.35736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
PRRC2A	0.174	0.525	0.012	NA	13	-0.3759	22.30103	78.8968	78.7873	68.8635	107.513	92.8192	108.693	109.014	57.743	80.3824	55.9844	129.95	154.64	114.202	89.2553	53.5696	51.6918	56.1753	44.8564	48.8639	39.7172	87.1292	120.005	149.21	128.988	151.629	110.542	73.1964	105.421	78.6162	101.356	132.062	48.0168	36.5716	44.9495	67.9016	23.0327	95.6779	62.3638	49.5384	123.668	152.463	31.3784	127.525	122.004	80.2564	81.4193	80.1766	97.5345	56.9622	268.744	119.483	156.249	103.242	50.9354	0.041963	0	0	0	0	0	2	3	2	NA	NA	2.16	NA	NA	NA	NA	NA	NA	6	47	14	4.97086711	72	9.11487	33	39.8389	48	20.8454	1	34	17051	NA	NA	9600.77696	1	0.3721928	0	0	NA	NA	2.5	0.443193908	0.106	NA	1.03162	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	NA	probable
PSMB4	0.333	0.526	0.42	NA	52	0.2376	NA	361.889	292.45	330.871	427.21	384.615	410.525	334.74	153.686	177.689	169.149	319.935	273.543	188.702	245.189	151.361	224.184	181.705	152.33	234.559	181.06	330.927	468.868	509.322	417.937	417.375	352.502	249.409	346.008	245.362	335.595	399.016	167.826	154.258	195.581	237.299	183.23	324.604	235.411	211.954	370.324	369.295	108.703	336.457	338.502	305.59	330.922	271.648	329.021	206.231	168.093	332.188	432.76	319.517	180.042	0.0014919	0.501656902	0	0	0	0.501656902	2	5	2	NA	NA	-0.05	NA	NA	NA	NA	NA	NA	1	5	NA	7.43867349	10	8.87896	11	38.6505	11	20.5577	0.398813285	107	2410	NA	NA	1699.46831	1	0.71101737	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.285	NA	probable
PSMC3	NA	NA	NA	NA	260	-0.28	29.15490196	132.669	109.932	99.2389	169.784	163.991	199.905	126.171	89.8726	118.446	127.088	143.095	126.359	119.295	142.013	84.3036	94.5958	109.46	117.515	94.7264	90.3659	118.319	190.906	155.604	149.669	147.958	169.483	101.419	171.771	109.23	175.055	140.593	96.4865	97.0883	60.8859	73.996	66.6153	134.881	96.0228	186.324	167.703	104.37	44.9245	90.3624	121.625	134.95	151.004	83.6206	98.7385	87.3843	153.472	133.709	161.064	121.602	30.849	NA	0.5030613	0	0	0	0.5030613	2	5	2	NA	NA	-0.47	NA	NA	NA	NA	NA	NA	1	13	12	12.50320448	63	11.0922	29	31.1302	55	18.9665	0.979199713	2	7673	NA	NA	0.9687	1	0.782960892	0	0	NA	NA	NA	0.02718987	1	0.999323236	4.051788	0.83297	0.98316	0.88172	0.90269	0.91097	0.22405	0.735	0.97371	0.32691	0.256	0.69188	probable
PSMD11	NA	NA	NA	NA	67	0.4129	9.698970004	47.1437	40.1611	35.1958	43.3742	43.703	48.902	43.2545	17.5475	22.2007	19.1338	51.2201	44.8358	26.848	31.4853	20.2623	25.6083	21.1232	16.3273	29.8897	21.5507	41.3152	59.1245	73.0406	48.5645	46.6787	45.4694	36.4939	42.105	50.5429	42.987	46.6741	25.8371	22.5231	20.9657	27.5419	21.1687	52.4017	34.9514	70.6291	54.4513	45.9732	14.8182	37.0037	41.9752	54.8948	60.3845	37.4389	42.4545	28.0299	53.4618	43.1011	58.2145	48.5861	13.4114	0.19958	0.501707943	0	0	0	0.501707943	2	5	2	NA	NA	-0.41	NA	NA	NA	NA	NA	NA	NA	8	1	9.67742038	30	6.00094	10	24.6658	12	13.4984	0.999745809	1	39057	NA	NA	5.14301	1	0.782960892	0	0	NA	NA	NA	NA	NA	NA	1.118591	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.612	NA	probable
PSMD5	0.028	NA	NA	NA	137	-0.3169	14.04575749	23.6123	20.1189	23.2584	24.8608	23.6367	23.9194	24.3791	5.61349	7.41844	6.79497	31.5632	20.9817	7.14004	10.2928	6.69866	10.3672	7.53827	5.30722	10.4706	7.48301	22.8447	44.6191	27.2014	26.7666	30.2294	22.3224	16.0946	21.8002	22.0677	20.4893	27.808	7.35862	4.45574	7.47967	11.3436	9.8677	20.9398	20.733	6.61457	26.2115	25.5854	9.09957	18.8941	23.1757	23.3036	25.2923	16.6605	17.819	15.4504	18.0196	22.9174	28.7749	24.6628	7.30512	0.0091178	0.501622616	0	0	0	0.501622616	2	5	2	NA	NA	-0.2	NA	NA	NA	NA	NA	NA	NA	3	NA	4.28855844	32	10.4794	8	39.9264	9	22.6558	1.2658E-05	1	27488	NA	NA	605.54211	NA	0.497687757	0	0	0.256505293	NA	NA	NA	NA	NA	1.525708	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.256	NA	probable
PTEN	NA	NA	NA	NA	457	0.3197	17.22184875	42.9623	45.9529	18.1346	34.7784	42.2817	41.0097	28.7601	9.74	12.0373	10.0198	49.1125	34.4168	10.8863	15.7712	9.16962	12.3154	10.6018	8.92319	9.6134	9.98461	34.7768	24.5814	62.4455	62.3698	59.7096	26.6039	19.5887	25.6707	18.2745	23.8812	50.9678	12.236	8.02361	9.7955	14.5515	11.1844	31.9142	13.6866	9.23202	47.557	31.6519	10.067	18.2386	27.2498	20.5921	21.2513	20.8483	35.774	15.6269	20.6591	31.5411	43.5594	40.2848	40.2665	NA	0.515070338	0	0	0	0.515070338	2	5	3	NA	NA	-0.23	NA	NA	NA	NA	NA	NA	1	22	105	15.67297733	258	8.3565	80	11.2048	149	10.9334	0.975506866	0	108817	NA	NA	3.61036	NA	0.782960892	0	0	NA	NA	0	0	0.999	NA	2.087486	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.989	NA	probable
PTGES3	NA	NA	NA	NA	58	-0.4131	8.397940009	136.167	132.517	96.4406	183.445	168.234	202.829	160.222	82.2452	87.143	80.3196	140.275	115.04	85.586	113.293	77.9487	108.383	88.4552	63.8426	163.564	103.815	147.553	180.922	292.246	220.315	207.511	150.884	126.269	124.622	139.114	120.356	191.628	66.0199	42.1238	78.073	146.97	68.3244	156.356	99.6113	88.6358	168.664	252.365	49.8421	124.461	131.861	122.466	117.516	115.055	117.173	83.4266	140.452	153.298	215.11	175.616	56.6392	0.083496	0.512066581	0	0	0	0.512066581	2	1	2	NA	NA	0.19	NA	NA	NA	NA	NA	NA	3	16	42	7.74742911	48	8.0914	22	41.3663	22	16.9459	0.87136585	1	25032	NA	NA	30.97993	1	0.824708164	0	0	NA	NA	NA	NA	0.996	0.998825429	2.638567	0.70932	0.74766	0.55924	0.69212	0.65177	NA	0.247	0.94875	0.92422	0.187	0.78313	probable
PYY	NA	NA	NA	NA	28	-0.2527	15	0.0411676	0.0258588	0	0.0852073	0.0582286	0.0600318	0.0254895	0.142841	0.162843	0.201716	0.14345	0.135741	0.222561	0.19402	0.129737	0.264406	0.292787	0.148892	0.160987	0.101547	0.146819	0.69249	0.0642239	0.222132	0.168155	0.194552	32.6929	0.0400603	0.0230331	0.0419639	0.24368	0	0	0.692473	0.0774431	0.0694395	0.0912734	0	0	0.111647	0.0975427	0.0808747	0.0827362	0.0963283	0.0890248	0.0976315	30.4215	0.0478183	0.0692396	1.84327	0.359708	0.147998	0.0774605	0	0.16457	0.501998157	0	0	0	0.501998157	NA	NA	NA	NA	NA	0.52	121	0	0.00126542	0.939394	0.0183256	0.016	6	34	90	1.70705006	179	5.86592	65	10.3593	22	6.96396	0.054416635	3	51731	NA	NA	109.27527	NA	0.292119116	0	0	NA	5.2836	NA	NA	1	0.975490182	3.295008	0.18152	0.4811	NA	0.252	0.15825	NA	0.038	0.7176	0.28877	0.67	0.23149	probable
RAD52	NA	NA	NA	NA	326	0.5895	24.69897	9.34332	8.62742	6.55567	13.5769	11.7976	11.0817	14.2361	3.55376	4.26071	5.11428	17.6866	20.7056	7.91496	6.11725	4.36915	5.16212	5.43373	4.03628	6.44561	4.52918	9.77622	9.46846	8.02587	17.8996	19.1411	13.177	10.7781	12.3214	6.25039	11.1672	16.1393	5.0117	3.19182	5.2578	9.06297	4.63894	10.021	6.94983	6.35615	21.0001	22.3735	4.30334	13.0243	15.2129	8.12947	7.27843	8.78816	10.7106	6.30301	10.289	19.1957	19.6211	13.6954	1.60273	0.014103	0.504398096	0	0	0	0.504398096	3	NA	NA	NA	NA	0.51	NA	NA	NA	NA	NA	NA	4	40	80	3.86565544	319	6.39886	65	20.8133	154	9.3472	2.38442E-07	71	77976	NA	NA	186.7787	NA	0.566305161	0	0	NA	NA	-0.25	NA	0.995	0.988220853	2.329897	0.58277	0.74766	0.62517	0.86111	0.82854	0.43825	0.437	0.9984	0.73137	0.323	0.92413	most likely
RARRES1	0.011	0.448	0	NA	322	-0.2548	513.154902	7.88022	217.66	16.1616	27.8183	58.4333	18.0377	60.3816	0.838151	0.928294	0.604192	1.11829	1.05887	0.760309	1.05115	1.10856	0.94907	0.789402	0.470966	1.13623	0.762162	42.1078	1.48223	0.205859	19.1335	77.6526	16.3294	24.254	20.4944	6.57419	21.8816	298.733	38.1498	3.30059	12.5735	18.8718	1.75494	58.856	159.912	1.54295	68.688	56.4168	3.65518	23.9336	85.1584	5.39414	3.11901	35.1036	3.17898	6.03794	1.81733	19.6828	21.8392	20.9973	0.114093	0.062215	0.500023641	0	0	0	0.500023641	2	2	3	NA	NA	NA	NA	0.193333	0.0341693	0	0	0.01	5	44	280	1.99980452	347	10.822	155	8.47386	168	10.7978	8.40652E-07	8	35804	NA	NA	1105.62229	1	0.139342904	0	0	NA	NA	NA	NA	NA	NA	2.342197	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.28	NA	probable
RNASE12	NA	NA	NA	NA	39	0.2862	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.915058	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	NA	NA	-0.25	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	0.006838299	1	630	NA	NA	8.76227	NA	0.111908376	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.743	NA	least likely
RP11-108K14.8	NA	NA	NA	NA	18	0.2414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.027562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	28	14	NA	52	6.09594	24	33.6562	39	10.2901	0.029365312	NA	29661	NA	NA	37.62967	NA	0.214144617	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
RP11-156E8.1	NA	NA	NA	NA	17	0.2315	NA	2.26552	1.11463	1.15146	2.36094	1.97453	2.56458	2.06745	0.951184	1.29525	1.31698	6.85732	6.61661	1.47062	1.60682	0.905247	1.27849	1.45332	1.06227	1.11325	0.944433	2.12214	0.749571	1.20162	2.42067	2.78174	1.90977	1.62238	1.95907	0.692409	1.92901	3.18347	1.13703	0.628957	0.921615	1.11896	0.266307	1.50744	1.68853	2.22708	2.33316	3.79892	0.460416	2.88095	2.38387	1.16996	1.25807	1.78818	1.28692	0.897448	9.1775	3.69821	3.19554	1.82508	0.227267	0.012318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	5	NA	16	8.88912	13	21.0923	16	28.10355	NA	NA	1738	NA	NA	9663.74662	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.322116	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.697	NA	least likely
RP11-160N1.10	NA	NA	NA	NA	377	0.4066	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2957	NA	NA	585.87908	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.91171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
RP11-676J12.7	NA	NA	NA	NA	492	0.2664	NA	2.45084	0.195701	0.250947	0	0.123019	0.161976	0.982758	0.0625454	0.0683051	0.0512993	0.0717769	0.092459	0.0534238	0.057293	0.087619	0.0757501	0	0.0577082	0.076054	0.0802183	1.73666	13.1967	0	3.83162	1.81442	0.262466	0.217291	0.135153	0.189922	0.097263	0.783781	0.16093	0.0435204	0.121471	0.239225	2.8411	0.38698	0.899082	0.222713	0.206524	0.147456	0.0854334	0.0465697	1.84028	1.81581	3.2191	0.29842	0.124391	0.127183	0.587745	0.221009	2.7044	1.95825	0	0.042456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	8	NA	25	8.23975	7	10.9308	20	8.84501	NA	NA	1580	NA	NA	24.8781	1	NA	0	0	NA	NA	NA	NA	NA	NA	0.670501	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0963	NA	least likely
RP11-701P16.2	NA	NA	NA	NA	465	-0.2725	NA	0.220039	0.473315	0.0584635	0.126467	0.148979	0	0.177771	0	0	0	0	0	0	0	0	0	0	0	0.22816	0	0.172475	0	0.0846201	0.094237	0.0644405	0.0689368	0.0489105	0.0477542	0.0457142	0	0.269483	0.0837811	0.0441114	0.0579255	0.0755301	0.41997	0.760691	0.133773	1.15745	0.300441	0	0	0.700894	0.184968	0.3311	0.208534	0.0512559	0.903	0.0604253	2.65571	0.121402	0	0.104118	2.21333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	10	NA	10	5.05716	1	13.9417	NA	NA	NA	NA	7670	NA	NA	2.26953	NA	NA	0	0	NA	NA	NA	NA	NA	NA	1.10168	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.717	NA	least likely
RP11-763F8.1	NA	NA	NA	NA	44	0.3302	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0943672	0	0	0	0	0	0	0	1.72672	0	0	0.320612	0.241395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	16	10.8734	NA	NA	NA	NA	NA	NA	6272	NA	NA	76.62647	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.435112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
SBF2	NA	NA	NA	NA	180	0.2271	101	23.1433	17.5068	9.27608	16.2797	16.1075	20.7793	20.0341	6.68072	6.5009	8.33345	13.6435	14.3689	7.56109	7.17899	5.80373	6.85031	8.23994	5.8018	10.1409	6.61965	17.5029	33.1136	2.28843	27.0285	22.3421	17.3296	10.9077	17.4798	10.0557	18.0226	18.1162	6.85244	4.18843	6.55914	8.15928	3.70345	16.3356	12.0732	3.55283	29.1734	23.8282	2.10752	10.5383	13.5785	12.6372	14.0953	9.40675	9.02333	8.15979	11.164	16.9393	21.1443	18.0805	4.45672	0.048678	0	0	0	0	0	2	4	2	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	204	2970	2.97179723	1235	7.71482	260	9.06741	563	8.21046	0.38005409	15	515540	NA	NA	987.04507	1	0.426189721	1	0	NA	NA	NA	NA	1	0.999387811	3.964545	0.76947	0.98316	0.95336	0.86233	0.9038	0.94653	0.93	0.99022	0.98901	0.34	0.80675	probable
SCN10A	0.231	0.662	0.056	NA	320	-0.2424	633.2218487	0	0	0	0.0608798	0.0223175	0.0173548	0	0	0	0	0	0	0.00968081	0.0103378	0	0	0	0	0.00513898	0	0	0	0	0	0.0166988	0	0	0	0	0	0	0.0666701	0.0440886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131783	0	0.458663	0	0	0	0	0.0043294	0.517372347	0	0.468244205	0	0.517372347	2	5	3	NA	NA	-1.32	NA	0	0	0	0	0.003	NA	53	NA	3.97098282	161	7.09937	70	4.05808	335	9.57777	6.14215E-26	4	97208	NA	NA	1695.64989	NA	0.519814193	1	1	NA	NA	3	NA	0.999	0.993330625	3.902288	0.76703	0.41756	0.94097	0.9753	0.9967	0.94141	0.676	0.99072	0.20204	0.0382	0.52211	probable
SCN2A	NA	NA	NA	NA	208	-0.2077	11.69897	0.0673468	0.163597	0.264267	0.196233	0.291711	0.103287	0.0687481	4.21337	8.34635	6.56496	70.2821	65.2019	11.4607	19.2771	5.14713	6.14524	9.12153	4.80039	1.38676	1.77184	0.193905	0.123913	0.00953275	0.2782	0.312613	0.187213	0.0870648	0.109924	0.0212193	0.0710555	0.226576	0.0400799	0.0143493	1.97623	1.54609	0.0255395	0.0898715	0.0900213	0.00982898	0.663461	0.236179	0.055169	4.21768	0.0986457	0.0617034	0.0660092	0.0821633	0.0874179	0.205787	0.357389	0.0475303	0.494157	0.348799	0.00634743	0.046855	0.518955415	0	0	0	0.518955415	2	3	2	NA	NA	-1.99	NA	0	0.00344612	0	0	0.002	NA	17	NA	10.68395422	23	4.5604	NA	NA	22	7.47709	0.999999992	5	152906	NA	NA	693.6775	1	0.778094649	0	0	NA	NA	3.75	0.508451998	0.999	NA	1.394404	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0121	NA	probable
SH2B3	0.158	0.399	0	NA	46	-0.2456	75.69897	32.0075	34.143	13.4375	23.3051	27.2961	17.2973	15.4723	5.99931	6.03853	5.22553	5.40266	5.91329	7.60405	7.00352	5.51248	6.19846	5.01993	4.41487	10.0883	5.70294	23.9479	37.9429	43.0456	18.6258	20.7475	14.3554	14.1183	14.4791	5.09098	14.2579	17.3535	14.1612	14.7935	9.76468	18.0775	7.91462	41.5686	8.37809	7.00801	20.6298	11.7352	4.97207	15.2041	14.197	5.69453	6.92347	19.2046	56.0167	7.52998	17.102	26.0633	20.2291	11.5384	14.5418	0.025935	0.957427108	0.957427108	0	0	0.502129463	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	12	56	1.96798985	34	8.0315	63	5.76125	34	11.7626	0.00592219	0	45675	NA	NA	1095.64678	1	0.55241257	0	0	NA	NA	3	0.556111955	1	0.999065939	1.135274	0.81057	0.50053	0.64185	0.77714	0.78619	0.09149	0.472	0.97617	0.8544	0.702	0.76949	probable
SHBG	NA	NA	NA	NA	8	-0.1763	3228.69897	0.632212	0.673039	1.3208	0.175521	0.272698	0.205064	0.358177	0.675332	0.797252	0.867045	0.398978	0.470987	0.8428	0.803885	0.667322	0.55988	1.12561	0.731599	0.522775	0.647346	0.469224	0.422531	0.112384	0.692279	0.774295	0.346205	0.223691	0.357823	0.197232	0.366681	0.919316	0.30356	0.192648	1.29136	1.03242	11.5862	0.402836	0.23137	0.336238	0.638542	1.00129	0.192661	0.969161	0.680452	0.168883	0.195815	0.93007	0.425054	0.281626	12.3003	1.09658	0.733059	0.389737	0.0345498	0.42099	0.542347219	0	0	0	0.542347219	3	NA	NA	NA	NA	0.13	15	0	0.00281955	0	0	0.001	1	9	16	1.97755717	55	6.87733	38	12.9422	34	9.52594	0.000188842	4	19318	NA	NA	235.27173	1	0.123297259	0	0	NA	NA	NA	NA	NA	NA	0.870984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	most likely
SHMT1	NA	NA	NA	NA	1	0.5332	31	40.8852	33.1436	8.91493	10.5272	11.3488	8.07608	18.5604	4.09533	3.16036	4.35019	25.8427	22.465	4.26866	4.3092	3.93403	4.02326	3.9192	3.81089	6.71275	4.4611	35.8673	14.4774	22.9632	17.1298	18.5617	14.338	17.9127	14.6345	62.7472	13.6299	21.6682	3.41182	2.35325	73.167	48.4196	181.103	14.0857	32.6808	9.40372	35.0971	17.6196	4.66022	5.50215	15.5604	27.8445	29.0438	26.584	27.8903	12.466	25.5073	39.5775	14.0659	25.7717	3.54853	0.034328	0.513465287	0	0	0	0.513465287	2	5	3	NA	NA	0.22	NA	NA	NA	NA	NA	NA	2	19	4	2.97639148	88	8.35882	28	15.1362	69	9.89925	1.86116E-07	10	35669	NA	NA	986.92433	NA	0.770912826	0	0	NA	NA	4	NA	1	0.99666635	3.461994	0.57567	0.74766	0.90892	0.62212	0.70383	0.92918	0.51	0.99689	0.73137	0.856	0.94266	probable
SIK1	NA	NA	NA	NA	81	0.2211	8	3.53718	3.31385	0.430532	0.840047	1.27516	2.38039	0.976253	0.220645	0.215373	0.245288	0.148141	0.251291	0.392621	0.280223	0.196423	0.309509	0.178288	0.165131	0.28591	0.215275	2.90644	0.141512	0.506855	1.56208	0.848971	0.944144	0.582439	0.913021	0.933078	0.938157	4.19687	1.26999	0.373677	0.555572	0.477174	0.745953	2.16374	1.7701	0.972744	2.97298	4.60358	0.324596	1.84331	1.03377	14.4041	10.9543	0.811411	0.69809	1.36864	0.553005	1.39985	1.40085	2.9863	0.0754514	NA	0.509370905	0	0	0	0.509370905	2	5	3	NA	NA	-0.26	NA	0	0	0	0	0.029	8	71	22	2.8304118	151	11.7362	42	13.4066	136	9.20869	0.993830465	NA	12613	NA	NA	1292.6128	1	0.704433322	0	0	NA	NA	NA	0.448123831	NA	NA	0.480478	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.607	NA	probable
SIK2	NA	NA	NA	NA	26	0.7476	14.30103	50.8772	39.2943	13.8324	14.1482	17.3951	19.3624	15.1396	6.91608	10.3994	12.5715	17.4039	17.1554	13.492	14.8608	7.43692	11.3072	13.9651	9.62686	11.397	7.83713	33.7509	17.5012	10.638	18.3096	19.4589	15.6341	11.0238	15.0942	8.55734	14.7546	20.1728	11.5672	6.2944	9.88598	13.082	16.5816	26.1415	14.9767	19.6023	21.0164	28.6302	8.32498	33.4791	14.453	13.4277	16.4373	12.0476	8.59836	23.6112	8.05378	18.6809	19.5653	12.7856	1.78679	0.015976	0.501932728	0	0	0	0.501932728	2	5	3	NA	NA	-0.42	NA	NA	NA	NA	NA	NA	NA	27	270	2.8304118	258	8.62799	19	14.8006	58	10.1133	0.999836809	2	128462	NA	NA	43.02086	1	0.809006751	0	0	5.448971557	NA	NA	0.395113485	0.001	0.474586644	1.387805	0.10882	0.07599	0.0739	0.19599	0.18513	0.16971	0.057	0.03853	0.14033	0.886	0.42108	probable
SIK3	0.11	NA	NA	NA	215	0.351	28.09691001	16.9615	14.1196	11.41	20.8303	20.8697	26.4733	19.401	17.0967	16.1068	31.4654	43.7784	46.2391	24.0959	23.9141	20.5517	21.4205	28.2096	28.5006	24.1771	18.3773	19.8381	13.4942	12.9686	24.6399	26.6427	26.1707	15.3895	24.2968	11.3064	23.1465	24.9716	10.1906	7.39841	8.75011	13.9436	8.82313	20.6408	13.2299	14.0345	28.3444	26.0812	7.02091	28.1664	18.1557	16.072	17.235	18.3694	18.943	12.3299	49.9014	29.8527	29.7771	18.4357	13.4479	NA	0.501936694	0	0	0	0.501936694	2	5	3	NA	NA	-0.99	NA	NA	NA	NA	NA	NA	2	171	9415	0	755	7.56499	128	7.44975	401	10.8872	0.999882541	19	255035	NA	NA	NA	1	0.72829324	0	0	NA	NA	NA	0.325776748	1	0.998728391	4.368252	0.79563	0.74766	0.86972	0.8687	0.7429	0.75554	0.627	0.98349	0.73137	0.927	0.67838	probable
